q1,q2,q3,q4,f1,f2,f3,f4,f5,target
0.67,0.67,-0.23,-0.22,446,271,315,324,803,zero
0.68,0.68,-0.21,-0.2,390,261,290,310,793,zero
0.69,0.68,-0.18,-0.18,348,260,265,306,790,zero
0.69,0.69,-0.14,-0.15,331,264,245,316,754,zero
0.7,0.7,-0.11,-0.12,298,257,228,305,730,zero
0.7,0.7,-0.07,-0.09,294,256,235,311,701,zero
0.71,0.7,-0.05,-0.08,333,278,294,398,698,zero
0.71,0.69,-0.08,-0.09,375,299,324,423,746,zero
0.71,0.67,-0.15,-0.12,422,316,362,465,780,zero
0.71,0.65,-0.22,-0.16,422,335,377,492,820,zero
0.7,0.62,-0.27,-0.2,428,343,382,466,783,zero
0.69,0.6,-0.33,-0.26,417,341,375,455,769,zero
0.66,0.57,-0.38,-0.29,409,345,370,441,769,zero
0.63,0.55,-0.43,-0.34,389,343,354,429,782,zero
0.61,0.53,-0.46,-0.37,381,348,335,401,753,zero
0.58,0.51,-0.48,-0.41,401,359,321,384,743,zero
0.56,0.48,-0.51,-0.45,398,382,325,370,767,zero
0.53,0.46,-0.53,-0.48,402,407,345,384,770,zero
0.51,0.44,-0.55,-0.5,413,433,371,410,782,zero
0.49,0.42,-0.56,-0.52,401,428,372,402,774,zero
0.47,0.41,-0.57,-0.53,417,443,382,415,770,zero
0.45,0.4,-0.58,-0.55,395,436,380,405,764,zero
0.43,0.39,-0.58,-0.57,389,432,385,402,787,zero
0.42,0.38,-0.59,-0.58,394,439,384,393,758,zero
0.41,0.37,-0.59,-0.59,406,446,378,394,770,zero
0.41,0.36,-0.59,-0.59,421,445,378,408,770,zero
0.41,0.35,-0.6,-0.6,404,456,372,414,777,zero
0.41,0.34,-0.6,-0.6,426,452,365,410,769,zero
0.41,0.34,-0.6,-0.6,417,453,358,402,767,zero
0.41,0.33,-0.61,-0.59,419,450,355,405,780,zero
0.41,0.33,-0.61,-0.59,402,442,355,410,788,zero
0.42,0.34,-0.61,-0.58,396,440,354,411,779,zero
0.43,0.35,-0.61,-0.57,394,444,350,412,782,zero
0.44,0.36,-0.6,-0.56,390,443,347,417,754,zero
0.45,0.38,-0.6,-0.54,391,443,347,417,766,zero
0.46,0.4,-0.59,-0.53,405,438,340,415,774,zero
0.48,0.42,-0.58,-0.51,406,432,334,407,793,zero
0.5,0.44,-0.56,-0.49,406,440,337,405,787,zero
